term,estimate,std.error,statistic,p.value,conf.low,conf.high,se_type
(Intercept),2.7073212308048693,0.4715368124802621,5.741484353182275,1.551836288763085e-8,1.7810915189684602,3.6335509426412784,classical
log1p(starting5_followers_total),0.07254614384661133,0.013336060574829318,5.439848105034557,8.030758070702565e-8,0.04635040426419197,0.09874188342903069,classical
log1p(team_handle_followers_home),0.06686993939958791,0.017400394900962905,3.8430127465605652,1.3568717347932114e-4,0.032690714515352125,0.10104916428382368,classical
log1p(team_handle_followers_away),0.012096465675224488,0.01726041202908739,0.700821374069137,0.4837103365143467,-0.02180779383696048,0.046000725187409455,classical
log(market_hh_combined),0.10878342629981191,0.02208114745789562,4.926529588520723,1.108480678450083e-6,0.0654098989194867,0.15215695368013712,classical
home_last5_win_pct,0.0649536284314358,0.055221768808550876,1.1762323053545143,0.24000998489012554,-0.04351731520837149,0.1734245720712431,classical
away_last5_win_pct,-0.032119584021584185,0.056291405541260685,-0.5705948130579375,0.5685069476190097,-0.1426915923004305,0.07845242425726212,classical
on_fire_either,9.448106068676997e-4,0.031552224754165616,0.02994434193560196,0.9761222846775737,-0.06103255206844143,0.06292217328217684,classical
combined_season_win_pct,0.9586407483774912,0.1584944310704977,6.0484191267962695,2.7012322055126783e-9,0.6473135150997126,1.2699679816552698,classical
playoff_stakesround1,0.9171970013212338,0.03397392274961003,26.997088563514847,6.583423198479193e-103,0.8504627488822667,0.983931253760201,classical
playoff_stakesround2,1.315512077265363,0.054867022304118294,23.97637090589152,1.5101417958057813e-87,1.2077379546242117,1.4232861999065143,classical
playoff_stakesconf_finals,1.523342292347218,0.049715772820333314,30.64102609552887,4.127315649782969e-121,1.4256866592888144,1.6209979254056215,classical
playoff_stakesfinals,1.5749770413410942,0.08389790768676507,18.772542543269495,3.7632421270791984e-61,1.4101781692198578,1.7397759134623305,classical
networkESPN,-0.5112294072161272,0.04284773566018531,-11.931305104908226,2.375596188016803e-29,-0.5953943012455564,-0.427064513186698,classical
networkNBC,-0.16804482669148016,0.0709888267489638,-2.3672010707506597,0.018267781484685906,-0.3074866662319504,-0.028602987151009895,classical
networkPRIME VIDEO,-0.7947815702908462,0.06102213688478901,-13.024479489982616,5.359122964782498e-34,-0.914646053331194,-0.6749170872504984,classical
networkTNT,-0.559649636950333,0.044781321348654805,-12.497389985281094,9.938949979767904e-32,-0.6476126321409882,-0.4716866417596778,classical
networkTNT+TRUTV,-0.6902306916527016,0.07611231718700223,-9.068580712854356,2.111772826459765e-18,-0.8397364942739325,-0.5407248890314706,classical
time_slotprimetime,0.13644846086430357,0.04169323612603345,3.2726761830584916,0.0011320773954541991,0.0545513256662753,0.21834559606233184,classical
time_slotlate,0.1197564465974676,0.05035270783349807,2.378351666676353,0.01773013858883215,0.020849695666423307,0.2186631975285119,classical
