,,,,,,,Universe Estimates,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,TV Households and Persons by Age/Sex Therein,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Population as of January 1, 2026",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Effective September 27, 2025",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMA,DMA Name,Total HHs,Total TVHHs,Black TV HHs,Hisp TVHHs,TVHHs w/child <18,Children 2-5,Children 6-11,Males 12-14,Males 15-17,Males 18-20,Males 21-24,Males 25-34,Males 35-44,Males 45-49,Males 50-54,Males 55-64,Males 65+,Females 12-14,Females 15-17,Females 18-20,Females 21-24,Females 25-34,Females 35-44,Females 45-49,Females 50-54,Females 55-64,Females 65+,
522,"Columbus, GA (Opelika, AL)",245600,242330,94440,13070,"70,520","28,995","44,461","11,941","11,983","13,789","18,536","38,553","35,993","16,278","16,140","33,215","46,069","11,478","11,317","13,569","17,868","39,948","39,977","18,199","17,962","36,748","58,657",
523,"Burlington, VT-Plattsburgh, NY",387500,364290,6550,7150,"83,990","29,780","48,270","13,966","14,449","16,342","18,939","46,227","51,974","24,909","25,368","58,168","96,296","13,079","13,127","15,956","18,437","45,712","52,477","25,291","25,548","60,319","107,044",
524,"Atlanta, GA",2879500,2803210,954680,271810,"874,620","348,118","548,505","151,847","155,829","166,105","197,763","472,920","488,173","234,875","237,377","451,951","530,266","146,695","150,582","167,025","194,189","498,702","526,611","257,176","256,529","484,757","657,052",
525,"Albany, GA",159000,153010,60450,10190,"51,250","19,750","30,123","8,384","8,415","8,682","9,821","21,372","21,497","10,530","10,758","21,635","30,960","7,917","7,965","8,541","9,585","23,697","24,774","12,009","11,947","24,500","40,089",
526,"Utica, NY",107400,104060,6870,5560,"25,930","10,577","16,413","4,565","4,678","5,830","6,460","13,718","14,244","6,688","6,817","15,900","25,281","4,268","4,866","6,139","6,128","13,653","14,445","6,900","7,036","16,473","30,021",
527,"Indianapolis, IN",1282000,1248430,179840,74770,"368,300","151,741","234,829","64,635","63,304","70,457","85,549","196,789","200,151","94,036","92,830","181,448","241,968","61,311","59,441","68,722","82,753","198,560","207,009","96,631","93,937","188,848","293,274",
528,"Miami-Ft. Lauderdale, FL",1885000,1818820,356780,946260,"535,330","210,168","319,886","86,009","85,828","91,053","109,634","290,594","336,282","163,496","166,197","327,094","408,577","82,157","82,049","90,682","106,921","287,927","331,273","165,194","169,266","339,340","519,402",
529,"Louisville, KY",747200,724710,107420,38890,"210,950","85,209","131,300","35,936","34,883","36,699","42,294","108,806","114,177","54,973","54,481","110,726","152,902","34,028","32,776","35,923","40,751","109,858","116,982","56,287","55,734","116,068","184,939",
530,"Tallahassee, FL-Thomasville, GA",315300,303780,95000,20310,"83,230","33,706","51,758","14,179","14,502","17,710","27,037","44,051","40,806","19,398","19,286","39,759","62,040","13,594","14,098","18,811","29,981","46,807","46,118","21,758","21,424","44,883","77,283",
531,"Tri-Cities, TN-VA",338300,328840,9240,7440,"80,130","29,336","46,134","12,926","13,362","14,382","17,583","43,872","42,867","22,270","24,579","52,699","84,099","12,207","12,553","14,147","17,209","42,485","43,482","22,748","25,172","55,029","98,424",
532,"Albany-Schenectady-Troy, NY",602900,584510,49270,28510,"139,260","52,172","81,989","22,813","22,978","27,456","33,123","79,100","84,757","39,572","39,935","90,848","140,716","21,513","21,474","27,292","32,187","78,219","85,593","40,136","40,832","95,185","163,163",
533,"Hartford & New Haven, CT",1103200,1073870,139000,156180,"286,720","105,285","164,370","45,302","46,618","55,165","64,704","160,421","165,640","75,720","75,964","170,276","245,010","43,365","44,263","55,100","61,924","157,120","170,039","79,998","81,217","183,428","298,223",
534,"Orlando-Daytona Beach-Melbourne, FL",1995800,1967250,277790,435800,"506,890","199,076","313,251","86,031","85,793","93,553","113,584","301,297","319,722","147,522","145,002","302,071","514,097","82,049","80,842","92,192","110,276","302,743","324,960","155,327","153,294","329,555","607,620",
