SEASON,SEASON TYPE,SPORT,NETWORK,PROGRAM,EPISODE,DATE,TELECAST TIME,DURATION (MINS),P2+,P18-49
2025/2026,REGULAR SEASON,NBA,NBC,NBC NBA SUN NT BSKBL,GOLDEN STATE AT NEW YORK,3/15/2026,8:00:00 PM,170,2225,589
2025/2026,REGULAR SEASON,NBA,NBC,NBC NBA SUN NT BSKBL,HOUSTON AT SAN ANTONIO,3/8/2026,8:07:00 PM,166,2472,758
2025/2026,REGULAR SEASON,NBA,NBC,NBC NBA SUN NT BSKBL,LA LAKERS AT DALLAS,4/5/2026,7:37:00 PM,157,3016,940
2025/2026,REGULAR SEASON,NBA,NBC,NBC NBA SUN NT BSKBL,LA LAKERS AT NEW YORK,2/1/2026,7:06:00 PM,145,3601,1037
2025/2026,REGULAR SEASON,NBA,NBC,NBC NBA SUN NT BSKBL,MINNESOTA AT BOSTON,3/22/2026,8:07:00 PM,143,1884,512
2025/2026,REGULAR SEASON,NBA,NBC,NBC NBA SUN NT BSKBL,NEW YORK AT OKLAHOMA CITY,3/29/2026,7:37:00 PM,161,3076,955
2025/2026,REGULAR SEASON,NBA,NBC,NBC NBA SUN NT BSKBL,PHILADELPHIA AT BOSTON,3/1/2026,8:07:00 PM,154,2623,759
2025/2026,REGULAR SEASON,NBA,NBC,NBC NBA SUN NT BSKBL 1Q1,OKLAHOMA CITY AT DENVER,2/1/2026,9:31:00 PM,153,2293,743
2025/2026,REGULAR SEASON,NBA,NBC,NBC NBA TIP OFF GAME E,HOUSTON AT OKLAHOMA CITY,10/21/2025,7:30:00 PM,212,4868,1785
2025/2026,REGULAR SEASON,NBA,NBC,NBC NBA TIP OFF GAME W,GOLDEN STATE AT LA LAKERS,10/21/2025,11:02:00 PM,100,3990,1419
2025/2026,REGULAR SEASON,NBA,NBC,NBC NBA TUES REG DH E SP1,DENVER AT DALLAS,12/23/2025,8:06:00 PM,146,1734,345
2025/2026,REGULAR SEASON,NBA,NBC,NBC NBA TUES REG DH E SP2,PHILADELPHIA AT MEMPHIS,12/30/2025,8:06:00 PM,168,1961,546
2025/2026,REGULAR SEASON,NBA,NBC,NBC NBA TUES REG DH W SP1,HOUSTON AT LA CLIPPERS,12/23/2025,10:32:00 PM,135,1298,340
2025/2026,REGULAR SEASON,NBA,NBC,NBC NBA TUES REG DH W SP2,DETROIT AT LA LAKERS,12/30/2025,10:54:00 PM,145,1724,568
2025/2026,REGULAR SEASON,NBA,NBC,NBC NBA TUES REG SEASON,VARIOUS TEAMS AND TIMES,10/28/2025,8:07:00 PM,149,2135,605
2025/2026,REGULAR SEASON,NBA,NBC,NBC NBA TUES REG SEASON,VARIOUS TEAMS AND TIMES,11/4/2025,8:07:00 PM,164,1535,406
2025/2026,REGULAR SEASON,NBA,NBC,NBC NBA TUES REG SEASON,VARIOUS TEAMS AND TIMES,11/11/2025,8:07:00 PM,149,2237,573
2025/2026,REGULAR SEASON,NBA,NBC,NBC NBA TUES REG SEASON,VARIOUS TEAMS AND TIMES,11/18/2025,8:07:00 PM,142,1622,408
2025/2026,REGULAR SEASON,NBA,NBC,NBC NBA TUES REG SEASON,VARIOUS TEAMS AND TIMES,11/25/2025,8:08:00 PM,155,1860,528
2025/2026,REGULAR SEASON,NBA,NBC,NBC NBA TUES REG SEASON,VARIOUS TEAMS AND TIMES,12/2/2025,8:07:00 PM,154,2384,641
2025/2026,REGULAR SEASON,NBA,NBC,NBC NBA TUES REG SEASON,VARIOUS TEAMS AND TIMES,1/6/2026,8:07:00 PM,147,1742,453
2025/2026,REGULAR SEASON,NBA,NBC,NBC NBA TUES REG SEASON,VARIOUS TEAMS AND TIMES,1/13/2026,8:07:00 PM,151,2042,546
2025/2026,REGULAR SEASON,NBA,NBC,NBC NBA TUES REG SEASON,VARIOUS TEAMS AND TIMES,1/20/2026,8:07:00 PM,168,2090,601
2025/2026,REGULAR SEASON,NBA,NBC,NBC NBA TUES REG SEASON,VARIOUS TEAMS AND TIMES,1/27/2026,8:07:00 PM,149,1867,449
2025/2026,REGULAR SEASON,NBA,NBC,NBC NBA TUES REG SEASON,VARIOUS TEAMS AND TIMES,2/3/2026,8:07:00 PM,145,1968,459
2025/2026,REGULAR SEASON,NBA,NBC,NBC NBA TUES REG SEASON,VARIOUS TEAMS AND TIMES,3/3/2026,8:09:00 PM,149,1507,342
2025/2026,REGULAR SEASON,NBA,NBC,NBC NBA TUES REG SEASON,VARIOUS TEAMS AND TIMES,3/10/2026,8:09:00 PM,152,2511,659
2025/2026,REGULAR SEASON,NBA,NBC,NBC NBA TUES REG SEASON,VARIOUS TEAMS AND TIMES,3/17/2026,8:08:00 PM,151,1453,332
2025/2026,REGULAR SEASON,NBA,NBC,NBC NBA TUES REG SEASON,VARIOUS TEAMS AND TIMES,3/24/2026,8:08:00 PM,158,1956,500
2025/2026,REGULAR SEASON,NBA,NBC,NBC NBA TUES REG SEASON,VARIOUS TEAMS AND TIMES,3/31/2026,8:08:00 PM,146,1899,521
2025/2026,REGULAR SEASON,NBA,NBC,NBC NBA TUES REG SEASON,VARIOUS TEAMS AND TIMES,4/7/2026,8:08:00 PM,148,2075,504
2025/2026,REGULAR SEASON,NBA,PRIME VIDEO,NBA CUP FINAL,SPURS VS NY KNICKS,12/16/2025,8:42:00 PM,149,3072,1649
2025/2026,REGULAR SEASON,NBA,PRIME VIDEO,NBA CUP QTR FINAL 1-EARLY,HEAT AT MAGIC,12/9/2025,6:07:00 PM,158,735,371
2025/2026,REGULAR SEASON,NBA,PRIME VIDEO,NBA CUP QTR FINAL 1-LATE,NY KNICKS AT RAPTORS,12/9/2025,8:45:00 PM,156,1137,562
2025/2026,REGULAR SEASON,NBA,PRIME VIDEO,NBA CUP QTR FINAL 2-EARLY,SUNS AT THUNDER,12/10/2025,7:37:00 PM,136,1049,499
2025/2026,REGULAR SEASON,NBA,PRIME VIDEO,NBA CUP QTR FINAL 2-LATE,SPURS AT LAKERS,12/10/2025,10:10:00 PM,154,1459,733
2025/2026,REGULAR SEASON,NBA,PRIME VIDEO,NBA CUP SEMIFINAL - EARLY,KNICKS VS. MAGIC,12/13/2025,5:42:00 PM,156,1326,589
2025/2026,REGULAR SEASON,NBA,PRIME VIDEO,NBA CUP SEMIFINAL - LATE,SPURS VS. THUNDER,12/13/2025,9:24:00 PM,164,2006,987
2025/2026,REGULAR SEASON,NBA,PRIME VIDEO,NBA ON PRIME - EARLY,76'ERS AT BULLS,12/26/2025,7:37:00 PM,153,838,408
2025/2026,REGULAR SEASON,NBA,PRIME VIDEO,NBA ON PRIME - EARLY,76'ERS AT NY KNICKS,12/19/2025,7:08:00 PM,155,784,425
2025/2026,REGULAR SEASON,NBA,PRIME VIDEO,NBA ON PRIME - EARLY,BUCKS AT NY KNICKS,11/28/2025,7:37:00 PM,166,2111,1025
2025/2026,REGULAR SEASON,NBA,PRIME VIDEO,NBA ON PRIME - EARLY,CAVALIERS AT HAWKS,4/10/2026,7:08:00 PM,146,480,220
2025/2026,REGULAR SEASON,NBA,PRIME VIDEO,NBA ON PRIME - EARLY,CAVALIERS AT MAVERICKS,3/13/2026,7:38:00 PM,142,508,231
2025/2026,REGULAR SEASON,NBA,PRIME VIDEO,NBA ON PRIME - EARLY,CELTICS AT 76'ERS,10/31/2025,6:59:00 PM,158,961,463
2025/2026,REGULAR SEASON,NBA,PRIME VIDEO,NBA ON PRIME - EARLY,CELTICS AT KNICKS,10/24/2025,7:30:00 PM,157,1168,557
2025/2026,REGULAR SEASON,NBA,PRIME VIDEO,NBA ON PRIME - EARLY,HEAT AT NY KNICKS,11/14/2025,7:07:00 PM,163,794,395
2025/2026,REGULAR SEASON,NBA,PRIME VIDEO,NBA ON PRIME - EARLY,LAKERS AT CELTICS,12/5/2025,7:07:00 PM,139,1007,446
2025/2026,REGULAR SEASON,NBA,PRIME VIDEO,NBA ON PRIME - EARLY,NUGGETS AT CAVALIERS,1/2/2026,7:38:00 PM,141,735,404
2025/2026,REGULAR SEASON,NBA,PRIME VIDEO,NBA ON PRIME - EARLY,NY KNICKS AT PISTONS,2/6/2026,7:38:00 PM,142,847,408
2025/2026,REGULAR SEASON,NBA,PRIME VIDEO,NBA ON PRIME - EARLY,PACERS AT CAVALIERS,11/21/2025,7:07:00 PM,155,695,432
2025/2026,REGULAR SEASON,NBA,PRIME VIDEO,NBA ON PRIME - EARLY,ROCKETS AT PISTONS,1/23/2026,7:07:00 PM,163,808,377
2025/2026,REGULAR SEASON,NBA,PRIME VIDEO,NBA ON PRIME - EARLY,ROCKETS AT SPURS,11/7/2025,7:31:00 PM,161,916,436
2025/2026,REGULAR SEASON,NBA,PRIME VIDEO,NBA ON PRIME - LATE,CLIPPERS AT KINGS,2/6/2026,10:10:00 PM,155,803,411
2025/2026,REGULAR SEASON,NBA,PRIME VIDEO,NBA ON PRIME - LATE,CLIPPERS AT TRAILBLAZERS,12/26/2025,10:10:00 PM,151,842,386
2025/2026,REGULAR SEASON,NBA,PRIME VIDEO,NBA ON PRIME - LATE,LAKERS AT GRIZZLIES,10/31/2025,9:30:00 PM,159,1196,600
2025/2026,REGULAR SEASON,NBA,PRIME VIDEO,NBA ON PRIME - LATE,MAVERICKS AT LAKERS,11/28/2025,10:18:00 PM,150,2065,976
2025/2026,REGULAR SEASON,NBA,PRIME VIDEO,NBA ON PRIME - LATE,MAVERICKS AT THUNDER,12/5/2025,9:40:00 PM,145,1026,492
2025/2026,REGULAR SEASON,NBA,PRIME VIDEO,NBA ON PRIME - LATE,NUGGETS AT BUCKS,1/23/2026,9:40:00 PM,158,796,456
2025/2026,REGULAR SEASON,NBA,PRIME VIDEO,NBA ON PRIME - LATE,NUGGETS AT ROCKETS,11/21/2025,9:43:00 PM,153,847,462
2025/2026,REGULAR SEASON,NBA,PRIME VIDEO,NBA ON PRIME - LATE,THUNDER AT TIMBERWOLVES,12/19/2025,9:43:00 PM,161,883,481
2025/2026,REGULAR SEASON,NBA,PRIME VIDEO,NBA ON PRIME - LATE,THUNDER AT WARRIORS,1/2/2026,10:10:00 PM,145,853,425
2025/2026,REGULAR SEASON,NBA,PRIME VIDEO,NBA ON PRIME - LATE,TIMBERWOLVES AT LAKERS,10/24/2025,10:00:00 PM,169,1400,799
2025/2026,REGULAR SEASON,NBA,PRIME VIDEO,NBA ON PRIME - LATE,TIMBERWOLVES AT ROCKETS,4/10/2026,9:40:00 PM,152,702,435
2025/2026,REGULAR SEASON,NBA,PRIME VIDEO,NBA ON PRIME - LATE,TIMBERWOLVES AT WARRIORS,3/13/2026,10:10:00 PM,150,807,450
2025/2026,REGULAR SEASON,NBA,PRIME VIDEO,NBA ON PRIME - LATE,WARRIORS AT NUGGETS,11/7/2025,10:00:00 PM,149,1064,496
2025/2026,REGULAR SEASON,NBA,PRIME VIDEO,NBA ON PRIME - LATE,WARRIORS AT SPURS,11/14/2025,9:45:00 PM,153,1434,688
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,BLAZERS/NUGGETS,3/22/2026,5:00:00 PM,135,158,38
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,BUCKS/LAKERS,1/9/2026,10:39:00 PM,135,304,97
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,BUCKS/SUNS,3/21/2026,10:00:00 PM,147,167,71
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,BULLS/KNICKS,4/3/2026,7:30:00 PM,150,169,84
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,CELTICS/BUCKS,3/2/2026,7:30:00 PM,135,367,121
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,CELTICS/LAKERS,1/3/2026,10:30:00 PM,150,251,112
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,CELTICS/TIMBERWOLVES,11/29/2025,5:00:00 PM,150,225,74
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,CLIPPERS/BUCKS,3/29/2026,3:30:00 PM,150,143,64
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,CLIPPERS/ROCKETS,2/10/2026,8:00:00 PM,152,309,110
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,CLIPPERS/SUNS,11/6/2025,9:00:00 PM,150,265,104
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,CLIPPERS/THUNDER,12/18/2025,8:00:00 PM,150,173,50
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,GRIZZLIES/CAVALIERS,11/15/2025,5:00:00 PM,158,176,83
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,GRIZZLIES/TIMBERWOLVES,12/17/2025,8:00:00 PM,158,256,99
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,HAWKS/CLIPPERS,11/10/2025,10:30:00 PM,150,191,97
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,HAWKS/PISTONS,12/12/2025,7:00:00 PM,150,263,78
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,HAWKS/ROCKETS,3/20/2026,8:00:00 PM,147,176,81
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,HAWKS/SPURS,11/20/2025,8:00:00 PM,150,183,75
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,HEAT/BULLS (POSTPONED),1/8/2026,8:00:00 PM,63,66,17
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,HEAT/CAVALIERS,3/27/2026,7:30:00 PM,158,70,27
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,HEAT/MAVERICKS,12/3/2025,8:30:00 PM,150,285,111
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,HORNETS/PISTONS,12/20/2025,7:30:00 PM,153,127,41
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,JAZZ/SUNS,3/28/2026,10:00:00 PM,136,167,72
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,KNICKS/HAWKS,12/27/2025,8:00:00 PM,165,248,97
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,KNICKS/HORNETS,3/26/2026,7:00:00 PM,150,212,81
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,KNICKS/MAGIC,11/22/2025,5:00:00 PM,175,207,89
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,KNICKS/SPURS,12/31/2025,7:00:00 PM,180,380,132
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,LAKERS/BLAZERS,11/3/2025,10:00:00 PM,150,280,127
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,LAKERS/BLAZERS,1/17/2026,10:18:00 PM,144,269,98
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,LAKERS/BUCKS,11/15/2025,8:00:00 PM,151,447,231
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,LAKERS/CLIPPERS,12/20/2025,10:30:00 PM,150,236,130
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,LAKERS/HAWKS,11/8/2025,8:00:00 PM,150,244,98
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,LAKERS/MAGIC,3/21/2026,7:00:00 PM,161,326,108
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,MAGIC/CLIPPERS,2/22/2026,9:00:00 PM,151,326,109
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,MAGIC/HORNETS,3/19/2026,7:00:00 PM,165,122,41
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,MAGIC/SUNS,2/21/2026,5:00:00 PM,182,227,102
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,MAVERICKS/BLAZERS,3/27/2026,10:11:00 PM,139,82,34
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,MAVERICKS/CAVALIERS,3/15/2026,3:30:00 PM,143,307,140
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,MAVERICKS/KINGS,12/27/2025,5:00:00 PM,150,150,60
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,PELICANS/WARRIORS,11/29/2025,8:30:00 PM,161,263,76
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,PISTONS/BUCKS,11/22/2025,8:00:00 PM,150,282,94
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,PISTONS/SIXERS,4/4/2026,7:00:00 PM,142,212,64
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,RAPTORS/CAVALIERS,11/13/2025,7:00:00 PM,151,192,62
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,RAPTORS/CELTICS,4/5/2026,3:30:00 PM,142,362,172
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,ROCKETS/NUGGETS,12/20/2025,5:00:00 PM,150,158,78
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,SIXERS/HAWKS,3/7/2026,6:00:00 PM,154,176,65
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,SIXERS/KNICKS,1/3/2026,7:35:00 PM,147,297,158
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,SIXERS/MAVERICKS,1/1/2026,8:30:00 PM,150,232,85
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,SPURS/LAKERS,2/10/2026,10:32:00 PM,148,320,118
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,SUNS/CAVALIERS,12/31/2025,3:30:00 PM,150,192,40
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,SUNS/KNICKS,1/17/2026,7:30:00 PM,168,110,29
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,THUNDER/GRIZZLIES,1/9/2026,8:00:00 PM,159,159,57
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,THUNDER/HAWKS,10/25/2025,7:30:00 PM,150,173,71
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,TIMBERWOLVES/HEAT,1/3/2026,5:00:00 PM,155,124,46
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,TIMBERWOLVES/WARRIORS,12/12/2025,10:00:00 PM,155,520,197
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,WARRIORS/BUCKS,10/30/2025,8:00:00 PM,159,559,169
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,WARRIORS/CAVALIERS,12/6/2025,7:30:00 PM,155,200,53
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,WARRIORS/HORNETS,12/31/2025,1:00:00 PM,150,206,53
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,WARRIORS/PACERS,11/1/2025,7:00:00 PM,163,279,97
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,WARRIORS/SIXERS,12/4/2025,7:00:00 PM,153,237,80
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,WARRIORS/TIMBERWOLVES,1/25/2026,5:30:00 PM,150,212,72
2025/2026,REGULAR SEASON,NBA,NBA-TV,NBA REGULAR SEASON   L,WIZARDS/CELTICS,3/14/2026,6:00:00 PM,135,217,79
